word,median,mean,count
tweaked,0.11911060550307061,0.11911060550307061,1
psyched,0.35633680198585377,0.35633680198585377,1
gamers,0.36867844982868064,0.36867844982868064,1
marshall,0.4466923433160669,0.4986121708157283,10
capri,0.48053654755451564,0.48053654755451564,1
one-of-a-kind,0.5002916909126826,0.5002916909126826,1
cb,0.5039554495860946,0.5027951951833244,3
\n\nmeh,0.5212629643772755,0.5212629643772755,1
catherine,0.5263904068340379,0.5263904068340379,2
restaurants.com,0.526620387823613,0.526620387823613,1
linda,0.5339707808043288,0.5339281143735228,28
pp,0.554377207115442,0.6336314245488274,3
brasil,0.566217480259213,0.566217480259213,1
elk,0.5757327695311204,0.5757327695311204,2
moneys,0.5781181207029537,0.5781181207029537,1
brasserie,0.5885851442508043,0.5885851442508043,1
cabana,0.5966308981058371,0.5966308981058371,1
carded,0.6071504997970787,0.6071504997970787,1
frisco,0.6206492902445376,0.6206492902445376,2
gatherings,0.6302708240687711,0.7951746979442378,3
apiece,0.6321427495746081,0.6321427495746081,1
prices.\n\ni,0.6382487991856959,0.6382487991856959,1
in/out,0.6423572312908739,0.6423572312908739,1
tostadas,0.651125291865122,0.7427366058191794,3
chugging,0.6514798726934982,0.6514798726934982,1
als,0.6636754079831562,0.6636754079831562,2
margarine,0.6810739696504217,0.6810739696504217,2
loosen,0.6833503704012922,0.7178213620704638,4
halved,0.683905312458872,0.683905312458872,1
uncertain,0.68401748581296,0.68401748581296,2
28.00,0.6878652289258703,0.6878652289258703,2
whitefish,0.6901825424731632,0.6901825424731632,1
creatively,0.6903297986937823,0.6903297986937823,1
premier,0.6914106311753894,0.6914106311753894,1
11.99,0.691470149376244,0.691470149376244,2
definitley,0.692281219199044,0.7101554327100401,4
heh,0.6947269382464863,0.6947269382464863,1
.\n-,0.6977339505535578,0.6977339505535578,2
ye,0.6979900616631421,0.6979900616631421,1
frequency,0.7018010679412996,0.7018010679412996,2
shoppe,0.7048394158689633,0.7048394158689633,2
hustling,0.7070379826186199,0.7070379826186199,2
henry,0.711730398984878,0.7225228968270512,4
scrambler,0.7145280480700772,0.7145280480700772,1
walgreen,0.7160410967029494,0.7742552557144349,5
clumpy,0.7172679589688175,0.7560185278398215,4
twitter,0.7177228705586184,0.7177228705586184,1
autozone,0.7220800994834299,0.7211802356590626,9
dreading,0.723751528026081,0.723751528026081,1
jen,0.7253809732764003,0.7163544589609897,3
fishes,0.7266770576835999,0.7266770576835999,1
mumbling,0.7268954373727917,0.7268954373727917,1
vaccines,0.7272623672429823,0.736016157647716,8
flirty,0.7277022113783599,0.7277022113783599,1
tod,0.7279374141990127,0.7279374141990127,1
enforcement,0.729528996515197,0.729528996515197,1
sophie,0.7299740201006083,0.7299740201006083,1
