word,median,mean,count
bent,0.10182466878549569,0.10182466878549569,1
sylvia,0.1344864404469904,0.1344864404469904,1
christine,0.13604766550503714,0.3719954414579144,5
emily,0.13663375080107393,0.13663375080107393,1
christina,0.17639107888897146,0.17639107888897146,1
sara,0.17775310234207475,0.43139572011522764,5
ms.,0.1790308407500226,0.1790308407500226,1
anna,0.1939519045138965,0.21972704479262087,6
gina,0.19886853540711016,0.19886853540711016,2
gouge,0.2534616374626111,0.2534616374626111,1
swipe,0.2750880941597914,0.2750880941597914,1
madonna,0.31408685990695095,0.31408685990695095,1
helen,0.3230313633940134,0.3230313633940134,2
catherine,0.3809301303976041,0.3809301303976041,2
lesbian,0.3941571609175449,0.4754484813012786,5
autumn,0.4114525472766018,0.535060525810545,3
ill.,0.4254762974287282,0.4254762974287282,1
r,0.4459477728246299,0.4459477728246299,2
fundraiser,0.4511090755738785,0.4511090755738785,1
e,0.4710242115627834,0.5881462666992242,21
ashley,0.4722057856527055,0.497073376898688,13
supervisor,0.4812701134499365,0.4812701134499365,1
hostesses,0.502801502492551,0.502801502492551,2
lauren,0.530669648057605,0.60477347488826,9
spill,0.5563120625297324,0.5563120625297324,2
florist,0.559573045273078,0.559573045273078,1
lulu,0.5751329522011397,0.5708139168567888,17
jen,0.5753465727028647,0.7863268479524131,3
wives,0.5850424646744717,0.5850424646744717,1
sarah,0.5919848159357056,0.5141168756429532,3
fella,0.5921036387257999,0.5921036387257999,1
'it,0.5977445472044247,0.5977445472044247,1
melissa,0.6009614279743977,0.8541598605680552,4
allison,0.6089440270475175,0.6089440270475175,1
specialize,0.6291950797299912,0.6291950797299912,2
heather,0.6298963118631464,0.6084536111588505,10
wondered,0.6362241798745231,0.6300684851565326,4
mani,0.6371136874125495,0.6659961602211825,15
kittens,0.6388907089004044,0.7452719005945249,3
vs.,0.6434190816644773,0.6434190816644773,1
ruby,0.6448744551168679,0.6448744551168679,1
aisle,0.6656485882513548,0.7086503807078018,4
spinning,0.6676729314241441,0.6676729314241441,1
unwilling,0.6701102776941166,0.6701102776941166,1
tale,0.6834949013452875,0.6834949013452875,1
roommate,0.688061528661922,0.688061528661922,1
lindsay,0.6938441985554427,0.7527190554960033,6
jean,0.6949903988922588,0.6201433878089532,5
9.99,0.6982749908316572,0.71177350075794,3
nye,0.6993250178975797,0.6993250178975797,1
niece,0.7004766520842877,0.6102050060469427,7
stall,0.7030099899937967,0.7514690625976937,5
gender,0.7037089815512715,0.7037089815512715,2
sheraton,0.7073022130974818,0.7073022130974818,1
indifferent,0.7112443592417919,0.7112443592417919,1
girlfriends,0.7131150033953414,0.6460533787192806,20
price.\n\ni,0.7143597330310206,0.7143597330310206,2
understands,0.7146500533479948,0.7735499171639499,5
marry,0.7147069570367426,0.7147069570367426,2
frying,0.7148273204169575,0.7148273204169575,2
gown,0.7193391024710659,0.7193391024710659,1
hospitable,0.7198290913936962,0.7198290913936962,1
claire,0.721222508334451,0.721222508334451,2
aiming,0.7222140032761979,0.7222140032761979,1
girlfriend,0.7252868318415046,0.6718911022293278,61
carne,0.7259353022012872,0.7259353022012872,1
brunette,0.730302286720681,0.7616796529370192,9
\n\nyes,0.7304184541062549,0.7304184541062549,1
restaurants.com,0.7325850244654959,0.7325850244654959,1
no-frills,0.7358476966243409,0.7358476966243409,1
affiliated,0.7371836166201988,0.7052081381474852,3
debit/credit,0.7391871532600063,0.7391871532600063,1
restrictions,0.7400120796623112,0.7845324854339718,11
becky,0.7411901846831809,0.7379345772039201,5
queen,0.7414454913447561,0.720222236745013,12
notify,0.7440093311543494,0.7774531429623527,6
complemented,0.7455585951047056,0.828663888178073,3
groupons,0.7455913536218389,0.8402659808821327,11
moms,0.7467556316122603,0.7662046768349148,4
housekeeper,0.7513458193080134,0.6039835730128793,10
k,0.7515983472317282,0.7894972950739274,6
cursing,0.7536612765559295,0.7536612765559295,2
manicure,0.754722656717167,0.7538411884471463,21
paula,0.7555851154188122,0.7555851154188122,1
sister,0.756233032773012,0.7155357813806575,52
waitresses,0.7564682989623308,0.7198807424662472,80
b.,0.7575198150620857,0.8260966843691241,3
breed,0.7600434273643932,0.7600434273643932,1
married,0.7604678967926026,0.7892313145410956,4
'good,0.760474447724263,0.760474447724263,1
nearest,0.7616294549248565,0.7616294549248565,1
fullest,0.7630690809554949,0.7630690809554949,1
h,0.7644573738481328,0.8729082145669845,13
vouchers,0.7646077165496188,0.7385937507360517,7
spain,0.7657035980255433,0.8127330820115869,8
greated,0.7672037212349234,0.75311914912474,6
pomegranate,0.7674976898081834,0.7279057172197062,5
sexy,0.7677004491163008,0.7677004491163008,1
assistant,0.7678610369849135,0.787085697361059,4
co,0.7697150322119338,0.8078078849541718,11
registry,0.7720358610682022,0.7720358610682022,1
apparel,0.7729058668325787,0.7729058668325787,1
bride,0.7744946556124388,0.7744946556124388,2
margaritas,0.778265695039835,0.7486701124344127,12
receptionists,0.7792914110318716,0.7887542597232273,4
raving,0.7812601635987468,0.8323617251181687,3
bison,0.7841287447949572,1.3395568618131317,3
ayce,0.7845118985058515,0.7803396907955519,4
listens,0.7851193229309749,0.7875767179071254,3
tragic,0.7864434668811281,0.7864434668811281,1
notches,0.7878336468208581,0.7878336468208581,1
cathy,0.7880334513851386,0.7655871711927853,4
sweetest,0.791578271875255,0.7945945217928986,5
flowers,0.7927544967713498,0.7506767282607602,15
ladies,0.7937468077078502,0.691967928240421,39
peruse,0.7939805912385739,0.7939805912385739,2
receptionist,0.7941077634201817,0.7451306897158249,33
bridesmaids,0.7941234044549944,0.8380128798382215,5
dancers,0.7942491411104582,0.7942491411104582,1
luncheon,0.7946127147773253,0.8165786392797639,3
chiropractic,0.7949622261367408,0.7949622261367408,1
ot,0.7961137501579567,0.8150307059125919,4
cognac,0.799023953110321,0.8373470480010899,7
sprinkles,0.7991016387361872,0.7991016387361872,1
drive-through,0.8008657045239538,0.7704035014757186,7
disrespectful,0.8011160180656479,0.8011160180656479,2
\n\nthese,0.8011161940294099,0.8677890668392024,3
attribute,0.802335309995303,0.802335309995303,1
contamination,0.802388134068169,0.802388134068169,1
laura,0.8037305240991675,0.8037305240991675,2
marina,0.8042505361083296,0.8042505361083296,1
curtains,0.8055559000214516,0.8055559000214516,2
penny,0.805574443529419,0.7494827792063758,8
vibrant,0.8076985438597772,0.8076985438597772,1
grumpy,0.808320825695143,0.8723301379422939,9
molasses,0.8089504727615533,0.8198305616698695,6
toenails,0.8090669429906991,0.8090669429906991,2
boobs,0.8092687939214263,0.8092687939214263,2
vicky,0.8096528928378061,0.9278903865441646,4
lidia,0.8102255960821212,0.7571063131075086,49
fran,0.811262030767215,0.793708149840311,12
female,0.8114187148015377,0.6272147826422607,25
service.\n\nthe,0.8116683094859238,0.8116683094859238,2
pow,0.8127181515334833,0.8127181515334833,1
nieces,0.8132516801369536,0.8132516801369536,1
bait,0.8136124528236668,0.8187567473082403,7
accuse,0.8141089328300571,0.8141089328300571,2
