word,median,mean,count
bent,0.11358877851390187,0.11358877851390187,1
christine,0.1296561160892288,0.5307385613635317,5
helen,0.13888061713387567,0.13888061713387567,2
repeats,0.148967096141764,0.32802579825328704,6
allison,0.15602701645784084,0.15602701645784084,1
emily,0.18129200743660973,0.18129200743660973,1
qualities,0.21454659245561838,0.21454659245561838,1
katie,0.2227499980268034,0.30230023347059026,6
flights,0.22335200114820444,0.22335200114820444,1
stranded,0.22339908952914736,0.22339908952914736,1
sara,0.22722465757011412,0.34481229682457853,5
curtains,0.2326242697155019,0.2326242697155019,2
bride,0.2677404193793286,0.2677404193793286,2
r,0.2882244406517485,0.2882244406517485,2
ultra,0.3324670962080365,0.3324670962080365,1
sarah,0.33629984329637136,0.35291776808281655,3
practitioner,0.34133330309436266,0.3294634928344069,3
130,0.3762087535462688,0.3762087535462688,1
selecting,0.39289319233929987,0.39289319233929987,1
inevitable,0.39871154403428183,0.39871154403428183,1
promising,0.39905184279837413,0.39905184279837413,1
fundraiser,0.4034605143104975,0.4034605143104975,1
check-in,0.4044997714268981,0.4044997714268981,1
donate,0.4082977484042981,0.4407227443308847,3
en,0.40855843591166013,0.40855843591166013,2
processing,0.4142802280207878,0.4142802280207878,1
pronounced,0.4179946770401125,0.4179946770401125,2
styled,0.42185229548170833,0.45508727572099544,3
christina,0.4240792832437527,0.4240792832437527,1
newly,0.4241877044818878,0.4241877044818878,1
barista,0.4354807203602544,0.5099222161130401,18
thyme,0.4400543130635987,0.4400543130635987,1
mani,0.44466957664793066,0.49594950599384613,15
relocated,0.44870220789744863,0.44870220789744863,1
cheated,0.4498554053015694,0.4498554053015694,1
preference,0.45533205336487453,0.45533205336487453,1
edgy,0.4580497256245207,0.6579570507971227,3
registry,0.4670258314062069,0.4670258314062069,1
feathers,0.4781658022575526,0.6594435887471615,3
wit,0.4800988875775866,0.7071740329338048,3
village,0.48271232639877415,0.6140216848505782,3
shouting,0.4857451385833304,0.4857451385833304,1
\n\nmenu,0.4868785746883664,0.4868785746883664,2
ill.,0.49200460473521795,0.49200460473521795,1
vanished,0.49636404785703614,0.71034857816112,3
sodium,0.5015901079919657,0.5015901079919657,1
finances,0.5019095021331692,0.6261824873395766,3
mother,0.5034180217434334,0.5474117021100612,54
politics,0.5038035515704872,0.6415756486947292,3
liberal,0.503967428494461,0.9512072373222203,3
quietly,0.5045005363230592,0.5045005363230592,1
gal,0.5066090052834465,0.5320232703197393,4
relieve,0.5093348009708272,0.4466830078243335,5
sheraton,0.5098623285472594,0.5098623285472594,1
bison,0.5120571050846416,0.5232795455020642,3
monterrey,0.5142034223490898,0.5142034223490898,1
9.99,0.5150497852574475,0.47487437893047013,3
packing,0.5190819093930089,0.5190819093930089,1
table.\n\ni,0.5202176158980234,0.5419792996584837,3
ew,0.520576874215037,0.520576874215037,1
dimly,0.5217583226020736,0.5217583226020736,1
aunt,0.5253207019802003,0.49180663334162694,9
punk,0.5304789431239694,0.5304789431239694,1
brunette,0.531280893200421,0.5944091993680578,9
niece,0.5345003606145482,0.5616648395451181,7
ruby,0.5375147672665734,0.5375147672665734,1
seamstress,0.5414371382729112,0.7809237125549201,9
centers,0.5419555499765553,0.5419555499765553,1
atypical,0.5426343881516498,0.5426343881516498,1
f,0.5472952980858626,0.6689683591107188,12
shallots,0.5489511677045382,0.5489511677045382,1
