word,median,mean,count
lady,0.24239187420297337,0.3528262396806727,76
n,0.5299778394427281,1.2561795204490505,25
waitress,0.5586845655840975,0.5393916443355439,198
girl,0.5868121444816259,0.5642224089499002,66
woman,0.59790755735212,0.5285133294387689,54
wife,0.7641984423979717,0.797534022252805,56
dogs,0.7688856671635226,0.7950077560159831,5
daughter,0.776684500221532,0.7212289607506721,38
et,0.7772682326530979,0.8929110461750307,3
mom,0.8200272066151302,0.7416853107073729,38
hostess,0.8348626122421731,0.769245054643211,59
girls,0.8616445563954257,0.8878832252136672,30
beautiful,0.8730868156607939,0.8918323201774407,35
reservation,0.8842900628211948,0.8676533196785251,54
tea,0.8900386422462645,0.9782500610363635,49
staying,0.8972209433470153,0.9930261057822948,9
hair,0.9002300894276399,0.8876347984971107,79
nails,0.9020982885978738,0.864800752229168,10
dance,0.9033952931463733,0.8965036286711746,14
server,0.9034308663950181,0.9528930642935236,179
taco,0.9068990604954538,0.9055179190160672,5
cute,0.9152324983412565,0.9690089884758118,19
groupon,0.9180349523619992,0.8754357231823037,13
\nthe,0.9190129001549281,1.0099871807290142,16
de,0.9194684574495398,0.9187427031852098,7
fat,0.9202098552032665,0.9510507573001485,16
dog,0.920286815633022,1.1044978944494401,42
option,0.928541195687917,0.9393388496584785,17
shopping,0.9323017228020687,0.9616158380960099,40
downtown,0.933495991171801,0.930178118296891,14
mentioned,0.9342563826126475,0.9565690800072686,52
alone,0.9359879130946046,0.9810854121257001,26
visiting,0.9371452863560666,0.9361507753470043,30
friends,0.9378206324583106,0.9480769467596198,119
wings,0.9381614210705598,0.9642644439227716,55
portions,0.9389558510362852,0.940826076778317,60
kitchen,0.939466402621403,0.9496007969471479,112
air,0.9398278756158014,0.9470267326219028,17
curry,0.9399489457192917,0.9399489457192917,1
flavors,0.9402041302940665,0.9540069017657273,44
normally,0.9405870962306595,1.0070822160854502,72
plain,0.9409421175828176,0.9971584573751884,28
min,0.9422492137903731,0.9403827623004444,15
ambiance,0.9423122086558542,0.939151296087101,35
watch,0.9425517255347694,0.9333910071314705,39
desk,0.9440437644872006,0.9895350290102902,54
helpful,0.9441886163888613,1.0058326001934683,91
bed,0.9446794280351166,1.1496525601797294,10
baked,0.9448821814370745,0.9554700286990353,27
rating,0.9463051178202091,0.9507206388754227,28
reviews,0.947662528048851,0.9744662324751173,115
strip,0.9480474421246601,0.9475036553771784,14
talking,0.9487497335651924,0.9655139482321599,51
lovely,0.9491335238573242,0.9677346576157326,30
turn,0.9494105693122653,1.098870857193869,60
tonight,0.9502497771880563,1.0009197636487177,28
terrible,0.9515115255792969,0.9725010784286972,79
cake,0.9518092951434827,1.0082998607196778,72
breakfast,0.9528485866973648,0.9829973580944228,110
help,0.9528544846723496,0.9612437990767548,71
salon,0.9528651150117022,1.030054683201338,32
sent,0.9534566664810654,1.0283539146349,58
upon,0.9535752230143663,0.9823735348696293,55
toast,0.955225396154561,0.9740903610947869,81
comfortable,0.9566038349643965,1.0000504482799406,37
bathroom,0.9567407922099271,0.9462298001299309,24
tuna,0.9571376431095915,1.0043154371339627,17
apparently,0.9576923879450129,0.9464972327863858,71
smaller,0.9577811309624756,1.0412794390905058,20
serving,0.9586744922278959,1.2004872688822794,30
--,0.9601460173198566,1.0268773021125908,138
patio,0.9604712993266455,0.9522935986713208,20
chose,0.9605196460116247,1.3266629575872046,23
forever,0.9613889132387502,0.9286361315632711,43
although,0.9615549842144506,0.9880892939306124,78
eye,0.9619813182304028,1.0350923966108778,29
reading,0.9620283428000866,1.0103939771313333,30
complaint,0.9636775681577427,0.9645856332626956,38
ordering,0.9638683207959691,1.074682885681151,82
wo,0.964646252054346,0.9384352999190474,102
ribs,0.9647842910401492,0.9163411271732699,4
checking,0.9647919063757081,0.9529025261035918,32
due,0.9649705745508932,0.9713542113586849,76
fish,0.965076057657638,0.9638783390771861,69
center,0.9658387320077124,1.0058947224020727,26
garlic,0.9658641031984059,0.9861272321558976,36
bland,0.9660108031855098,0.9383236783756804,41
professional,0.9660613753941039,0.9567883907880463,24
rooms,0.9662101220488086,0.9462341660959285,12
none,0.9668288919484169,1.0619167947214652,45
vegetarian,0.9673660304423545,0.9664769987422241,53
three,0.9674821826663239,1.0073860120075335,147
pass,0.96759307836772,1.0276727043668192,34
recently,0.9676243493112302,1.0325746405806144,63
la,0.9678540876963511,0.9888817674051547,4
white,0.9682987937691288,0.9675864208739426,39
lettuce,0.9683360939488916,0.907830523312869,26
course,0.968808993018178,0.992874249690305,78
noticed,0.9690946508068133,1.043401665512241,35
middle,0.9694911375319917,0.9817115801970404,37
says,0.970061854675517,1.4629903822410333,105
stay,0.9705536693198065,0.970010987383398,77
works,0.9708373075794864,0.9878005386649262,31
italian,0.9708794082942025,0.9566883641524182,77
cooked,0.970973444852137,0.9804624918925319,134
club,0.9711649848556594,1.0124708416525277,34
shop,0.9712653352061799,0.9820834172751864,128
entire,0.9715616697266106,0.9927257971664011,73
item,0.972001878492342,0.9936067734677327,57
offered,0.9723031513454492,1.1782748701026746,62
barely,0.9725372777275206,0.9839490115205995,73
yelp,0.972559236508492,0.9854580824307317,39
wish,0.9728526054825379,1.0795754889486442,92
watching,0.9728992112415755,0.9551819114067372,42
despite,0.973625966060155,1.016279005804564,31
room,0.974096091225014,0.9771809298028848,124
evening,0.9742686353290668,1.0174711612952834,87
must,0.9746212792373868,0.9951871012172986,93
section,0.9748038774941439,0.96175770261834,58
called,0.9748132695763344,1.1872730965376936,187
asking,0.9750871127833235,0.9386658822028215,66
..,0.975175477100131,1.1376779143037488,75
egg,0.9751901146495116,1.0824711641163847,42
along,0.9752127347022684,0.9726170275527255,45
ever,0.9752433450139288,0.971117323824655,275
atmosphere,0.9755527123897215,1.0129939930832774,54
frozen,0.9758015653207964,0.9430856065184967,27
disappointing,0.9758474495818736,0.9952514698765476,22
limited,0.9758545517972744,0.965653496308271,27
mine,0.9762771784741432,1.1748961101576438,55
lost,0.9764885453436051,1.0007512875125457,39
'd,0.976657760938296,1.9505551168788635,192
miss,0.9768703647524317,1.0118316211941167,57
kinda,0.976928259321715,0.9783064976205391,38
15,0.9769341318777331,0.9867677060656345,76
salt,0.9770299850969466,1.0119067671852817,56
management,0.9771696228540976,0.9832359220111347,21
speak,0.9773857818921359,1.0419207147704803,36
window,0.9775442222996302,0.9934718740507893,31
